"Date operation";"Date valeur";"Libelle";"Debit";"Credit"
"30/10/2023";"30/10/2023";"CARTE 29/10 SARL HAVAUX BOHARS";"19,50";""
"28/10/2023";"28/10/2023";"CARTE 27/10 SUPER U 29 BREST";"88,11";""
"23/10/2023";"23/10/2023";"CARTE 21/10 SUPER U 29 BREST";"112,19";""
"21/10/2023";"21/10/2023";"VIR INST MR DEMIRDELEN OU MLE MA";"";"200,00"
"19/10/2023";"19/10/2023";"RET DAB 191023 BREST BELLEVUE 1";"20,00";""
"16/10/2023";"16/10/2023";"F FR REEDITION CODE CONFIDENTIEL";"7,14";""
"07/10/2023";"07/10/2023";"F COTISATION EUROCOMPTE";"2,70";""
"04/10/2023";"16/10/2023";"SOUSCRIPTION PARTS  SOCIALES";"15,00";""
